epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
160,2553.49,0.43684,0.27549,0.85266,0.99945,1,0.995,0.90913,0.42059,0.23563,0.82185,0.0009506,0.0009506,0.0009506
161,2569.45,0.42683,0.26758,0.83597,0.99943,1,0.995,0.91996,0.43934,0.25084,0.82283,0.000944,0.000944,0.000944
162,2585.42,0.43347,0.26859,0.83663,0.99944,1,0.995,0.92133,0.41431,0.24663,0.81969,0.0009374,0.0009374,0.0009374
163,2601.31,0.40226,0.26057,0.83875,0.99944,1,0.995,0.91858,0.41252,0.24544,0.81818,0.0009308,0.0009308,0.0009308
164,2617.24,0.41797,0.2668,0.82806,0.99945,1,0.995,0.9168,0.42221,0.24093,0.81794,0.0009242,0.0009242,0.0009242
165,2633.17,0.43806,0.28268,0.84401,0.99945,1,0.995,0.9238,0.40608,0.2449,0.81812,0.0009176,0.0009176,0.0009176
166,2649.03,0.43201,0.26889,0.84172,0.99947,1,0.995,0.9244,0.40555,0.23974,0.81678,0.000911,0.000911,0.000911
167,2665.01,0.42568,0.26964,0.84429,0.99945,1,0.995,0.92801,0.41571,0.24316,0.81647,0.0009044,0.0009044,0.0009044
168,2680.91,0.42254,0.27012,0.84394,0.99945,1,0.995,0.9306,0.40336,0.23075,0.8156,0.0008978,0.0008978,0.0008978
169,2696.7,0.42494,0.26466,0.83922,0.99945,1,0.995,0.92794,0.41427,0.23988,0.81495,0.0008912,0.0008912,0.0008912
170,2712.72,0.41788,0.26376,0.83947,0.99942,1,0.995,0.92996,0.39988,0.23728,0.81771,0.0008846,0.0008846,0.0008846
171,2728.67,0.41322,0.26414,0.83818,0.9994,1,0.995,0.92718,0.3977,0.24463,0.81827,0.000878,0.000878,0.000878
172,2744.55,0.41363,0.26943,0.83902,0.99942,1,0.995,0.91661,0.4081,0.25222,0.81938,0.0008714,0.0008714,0.0008714
173,2760.39,0.42078,0.26107,0.83794,0.99944,1,0.995,0.92613,0.41132,0.24537,0.8171,0.0008648,0.0008648,0.0008648
174,2776.4,0.41937,0.27417,0.83173,0.99943,1,0.995,0.92441,0.40977,0.24832,0.81626,0.0008582,0.0008582,0.0008582
175,2792.25,0.42894,0.27033,0.83369,0.99945,1,0.995,0.92101,0.42551,0.25045,0.82027,0.0008516,0.0008516,0.0008516
176,2808.25,0.41247,0.26079,0.82816,0.99943,1,0.995,0.92535,0.41933,0.24259,0.81671,0.000845,0.000845,0.000845
177,2824.17,0.40586,0.26247,0.83542,0.99942,1,0.995,0.92138,0.40357,0.24674,0.81487,0.0008384,0.0008384,0.0008384
178,2840.1,0.40493,0.2598,0.82911,0.99923,1,0.995,0.92309,0.4157,0.24831,0.81659,0.0008318,0.0008318,0.0008318
179,2856.02,0.41628,0.2565,0.83296,0.99935,1,0.995,0.92358,0.41155,0.24278,0.81624,0.0008252,0.0008252,0.0008252
180,2872.03,0.41351,0.2667,0.84305,0.99944,1,0.995,0.91555,0.42799,0.24951,0.81867,0.0008186,0.0008186,0.0008186
181,2887.93,0.4136,0.25527,0.83518,1,1,0.995,0.932,0.40394,0.23983,0.8131,0.000812,0.000812,0.000812
182,2903.89,0.39853,0.25146,0.82834,1,1,0.995,0.92158,0.42581,0.23423,0.81613,0.0008054,0.0008054,0.0008054
183,2919.82,0.41075,0.25688,0.84148,1,1,0.995,0.92697,0.39975,0.23415,0.8127,0.0007988,0.0007988,0.0007988
184,2935.8,0.4036,0.25433,0.8413,1,1,0.995,0.92433,0.39093,0.22798,0.81289,0.0007922,0.0007922,0.0007922
185,2951.67,0.40201,0.25304,0.83043,0.99944,1,0.995,0.9262,0.39704,0.23459,0.81265,0.0007856,0.0007856,0.0007856
186,2967.61,0.40594,0.26073,0.83268,1,1,0.995,0.92262,0.40744,0.23559,0.81424,0.000779,0.000779,0.000779
187,2983.54,0.41219,0.25922,0.84276,0.99943,1,0.995,0.91562,0.41276,0.23178,0.81574,0.0007724,0.0007724,0.0007724
